[0304/075340:INFO:CONSOLE(0)] "Uncaught (in promise) #<Object>", source: http://ke.qq.com/client/teacher.html#uin=3016013112&gid=101264955&courseid=101264955&state=1&startTime=1583279614476 (0)
[0420/054702:INFO:CONSOLE(30)] "%c2020-04-19T21:47:02.019Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.5875 200 106ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/054712:INFO:CONSOLE(30)] "%c2020-04-19T21:47:12.123Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.2358 200 102ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/054722:INFO:CONSOLE(30)] "%c2020-04-19T21:47:22.225Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.7760 200 101ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/054732:INFO:CONSOLE(30)] "%c2020-04-19T21:47:32.329Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.8913 200 101ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/054742:INFO:CONSOLE(30)] "%c2020-04-19T21:47:42.432Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.4644 200 99ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/054744:INFO:CONSOLE(30)] "%c2020-04-19T21:47:44.728Z [imlog] INFO: post //report.edu.qq.com/data_report/web_report 200 196ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/054752:INFO:CONSOLE(30)] "%c2020-04-19T21:47:52.533Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.2277 200 97ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/054759:INFO:CONSOLE(30)] "%c2020-04-19T21:47:59.289Z [imlog] INFO: post //report.edu.qq.com/data_report/web_report 200 180ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/054802:INFO:CONSOLE(30)] "%c2020-04-19T21:48:02.645Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.7526 200 109ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/054812:INFO:CONSOLE(30)] "%c2020-04-19T21:48:12.750Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.2894 200 101ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/054814:INFO:CONSOLE(30)] "%c2020-04-19T21:48:14.726Z [imlog] INFO: GET /cgi-bin/web_ke/get_notice?tkn=101756608&uint32_course_abs_id=101756608&bkn=1119823869&t=0.2508 200 164ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/054814:INFO:CONSOLE(30)] "%c2020-04-19T21:48:14.735Z [imlog] INFO: GET /cgi-bin/coupon/get_coupon_status_marketing?tid=101756608&bkn=1119823869&t=0.6617 200 175ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/054822:INFO:CONSOLE(30)] "%c2020-04-19T21:48:22.853Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.4160 200 99ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/054832:INFO:CONSOLE(30)] "%c2020-04-19T21:48:32.955Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.5125 200 101ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/054843:INFO:CONSOLE(30)] "%c2020-04-19T21:48:43.056Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.2738 200 97ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
[0420/054853:INFO:CONSOLE(30)] "%c2020-04-19T21:48:53.158Z [imlog] INFO: POST //pull.ke.qq.com/base_pull?bkn=1119823869&t=0.1262 200 100ms", source: https://7.url.cn/edu/teacher-client/index_425a48b2335f75678058.js (30)
