author,comments,name,press,price,rank
卡勒德·胡赛尼,2779563条评论,追风筝的人（2018年新版）,上海人民出版社,¥18.00,41.
郑利强,799216条评论,我的第一本地理启蒙书,新世界出版社,¥16.90,42.
钱钟书,991777条评论,围城,人民文学出版社,¥19.50,43.
高尔基,97491条评论,童年（快乐读书吧·六年级上指定阅读，今年暑期月均销15000册，著,浙江工商大学出版社,¥12.30,44.
刘慈欣,486747条评论,流浪的地球（刘慈欣著，无删节无改写，大人孩子均可阅读，此版本,浙江教育出版社,¥24.70,45.
史蒂夫·比达尔夫,372285条评论,养育女孩（新版）,中信出版社,¥19.10,46.
珊蒂克雷文,328585条评论,学会爱自己（防性侵，安全意识、行为习惯培养绘本，全14册）,青岛出版社,¥74.80,47.
来俊臣,24421条评论,天下无谋之秘卷八书（壹）——罗织经,黄山书社,¥14.00,81.
铃木典丈,265105条评论,我的神奇马桶（奇思妙趣三部曲）（全3册）,贵州人民出版社,¥34.80,48.
陈磊,1006055条评论,半小时漫画中国史5（中国史大结局！笑着笑着，大清就亡了！漫画科,文汇出版社,¥24.70,49.
艾德兰,429718条评论,我们的身体,未来出版社,¥60.40,50.
蔡崇达,1087529条评论,皮囊【薇娅推荐】（350万册纪念版。直面人生的终极问题，刻在骨头,天津人民出版社,¥19.90,51.
乔安娜柯尔,472476条评论,神奇校车·动画版（全10册）,贵州人民出版社,¥46.00,52.
英国DK公司,341667条评论,DK幼儿百科全书——那些重要的事,中国大百科全书出版社,¥69.00,82.
北猫,282136条评论,米小圈上学记二年级（套装共4册）,四川少儿出版社,¥49.00,83.
乔安娜柯尔,318114条评论,神奇校车·阅读版（全16册）-儿童文学,贵州人民出版社,¥49.90,84.
周国平,659253条评论,我喜欢生命本来的样子(周国平经典散文作品集),作家出版社,¥22.10,85.
辛德斯·麦克劳德,63441条评论,小兔子学花钱系列·3~7岁孩子的首套财商启蒙绘本（全3册）（学花,河南文艺出版社,¥54.90,86.
霍晨昕,112450条评论,走遍中国 图说天下 寻梦之旅,四川人民出版社,¥22.10,87.
北猫,473505条评论,米小圈脑筋急转弯（第一辑）（套装共4册）,四川少儿出版社,¥31.40,88.
入山智,307038条评论,小鸡球球触感玩具书：全5册,长江少年儿童出版社,¥92.50,89.
东野圭吾,71100条评论,东野圭吾：祈念守护人（东野圭吾2020年全新长篇，全球同步发售）,南海出版公司,¥46.60,53.
叶圣陶,66884条评论,稻草人（语文教材三年级上册“快乐读书吧”篇目，手绘精美插图）,安徽教育出版社,¥9.90,54.
安托万·德·圣埃克苏佩里,1311774条评论,小王子（袁泉推荐，畅销400万册，1166229条当当读者五星好评。作,天津人民出版社,¥19.70,55.
宫西达也,262660条评论,宫西达也超级绘本（加法超人与算术星人+狐狸爸爸笑了等全11册）,青岛出版社,¥93.00,56.
玛兹丽施,785276条评论,如何说孩子才会听 怎么听孩子才肯说（全新修订版，涂磊推荐）,中央编译出版社,¥18.20,57.
讲历史的王老师,53083条评论,古代人的日常生活（古代的光棍多吗？古人怎么擦屁屁？古人夏天如,江苏凤凰文艺出版社,¥34.90,58.
罗伯特·清崎,362263条评论,富爸爸穷爸爸（新版本）当当投资理财类畅销图书！本版随书附赠价,四川人民出版社,¥44.50,59.
理查德·斯凯瑞,290807条评论,斯凯瑞金色童书·益智经典（百年诞辰纪念版，全4册）（原斯凯瑞金,贵州人民出版社,¥38.20,60.
毛姆,52261条评论,月亮与六便士（2019畅销百万册精装典藏版，全译详注+精美彩插，李,时代文艺出版社,¥17.60,90.
罗伯特·E·韦尔斯,86190条评论,妙想科学（全12册）,贵州人民出版社,¥65.50,91.
埃·奥·卜劳恩,7341条评论,父与子全集完整版（彩色注音版）小学生课外阅读书籍一二年级带拼,东北师范大学出版社,¥11.60,92.
东野圭吾,246948条评论,放学后（东野圭吾成名作）,南海出版公司,¥22.50,93.
何孝荣,8207条评论,二十四史少年精编版（套装全4册）萃取纯正精华，来自浩如烟海的中,青岛出版社,¥78.00,94.
图说天下,129576条评论,中国最美的100个地方 图说天下 国家地理,北京联合出版公司,¥8.00,95.
英国DK公司,78694条评论,DK博物大百科——自然界的视觉盛宴,科学普及出版社,¥206.10,96.
申惠恩,190895条评论,你好！数学（超值礼品盒装，共30册）,湖北少儿出版社,¥84.00,97.
艾伦·贝克尔,302645条评论,不可思议的旅程三部曲（2020版）,新星出版社,¥89.70,98.
陈磊.半小时漫画团队,18323条评论,半小时漫画中国哲学史（其实是一本严谨的极简中国哲学史！二混子,江苏凤凰文艺出版社,¥24.90,99.
宫西达也,396354条评论,宫西达也恐龙系列全套7册（你看起来好像很好吃+我是霸王龙等）,２１世纪出版社,¥63.00,100.
姜自霞,311705条评论,魔法拼音国 【升级版 全彩共10册】（7册故事绘本+3册闯关游戏+10,浙江少年儿童出版社,¥48.30,161.
周霞,178353条评论,拼音真好玩（全彩6册）（从幼小衔接到一年级，拼音学习必备启蒙书,电子工业出版社,¥31.70,162.
刘兴诗,3017条评论,少年读徐霞客游记（套装全3册）,青岛出版社,¥50.00,163.
杨其铎,346525条评论,四五快读 全彩图升级版——幼儿快速识字阅读法（全8册）(让孩子爱,湖南科技出版社,¥104.60,164.
陈才俊,9913条评论,国学经典：山海经全集,海潮出版社,¥19.90,165.
许仲琳,33775条评论,封神演义(青少版，非常适合小学高年级和初中生阅读，2017年低定价,浙江教育出版社,¥14.00,166.
金鱼酱,48900条评论,人间告白（何炅、谢娜、 易烊千玺推荐，花生妈妈金鱼酱写给儿子的,百花洲文艺出版社,¥22.40,167.
路遥,396410条评论,人生（茅盾文学奖得主路遥代表作，全新精装版）,北京十月文艺出版社,¥22.50,168.
埃德加·斯诺,533863条评论,红星照耀中国  青少版 八年级上册必读 人民文学出版社 团购电话4,人民文学出版社,¥16.50,169.
玖月晞,48962条评论,白色橄榄树（全二册）（ 人气作家玖月晞继《少年的你，如此美丽》,百花洲文艺出版社,¥33.20,170.
大卫,282235条评论,大卫不可以+大卫上学去+大卫惹麻烦（大卫系列全3册）——清华附小,河北教育出版社,¥59.70,171.
稻盛和夫,261933条评论,活法,东方出版社,¥19.00,172.
原田绫子,29743条评论,父母话术训练手册,中国妇女出版社,¥17.90,173.
夏洛蒂勃朗特,216530条评论,简爱（浙大翻译家宋兆霖翻译，未删减全本。）九年级下册必读书目,作家出版社,¥13.40,174.
皮姆,448924条评论,我不敢说，我怕被骂——邓超微博推荐的绘本 带给孩子更多勇气和自,北京联合出版公司,¥19.90,175.
约瑟夫·米森,88586条评论,这就是物理（函套10册）,北京理工大学出版社,¥99.00,176.
莳田晋至,320994条评论,在教室说错了没关系,青岛出版社,¥18.00,177.
亚历山德拉·米热林斯卡,758480条评论,地图 人文版（升级版）手绘世界地图 儿童百科绘本,贵州人民出版社,¥65.50,178.
吉田纯子,422362条评论,0-4岁幼儿认知小百科（全3册),长江少年儿童出版社,¥44.00,179.
陈磊·半小时漫画团队,1350577条评论,半小时漫画科学史（漫画式科普开创者二混子新作！从地心说到相对,文汇出版社,¥21.00,180.
塔拉,750596条评论,你当像鸟飞往你的山（比尔·盖茨年度特别推荐，登顶《纽约时报》,南海出版公司,¥29.50,1.
金伯莉·布雷恩,617979条评论,你就是孩子最好的玩具 樊登推荐,南方出版社,¥11.70,2.
