duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment,working-hours,pension,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation,longterm-disability-assistance,contribution-to-dental-plan,bereavement-assistance,contribution-to-health-plan,class
1,5,NaN,NaN,NaN,40,NaN,NaN,2,NaN,11,average,NaN,NaN,yes,NaN,good
2,4.5,5.8,NaN,NaN,35,ret_allw,NaN,NaN,yes,11,below_average,NaN,full,NaN,full,good
NaN,NaN,NaN,NaN,NaN,38,empl_contr,NaN,5,NaN,11,generous,yes,half,yes,half,good
3,3.7,4,5,tc,NaN,NaN,NaN,NaN,yes,NaN,NaN,NaN,NaN,yes,NaN,good
3,4.5,4.5,5,NaN,40,NaN,NaN,NaN,NaN,12,average,NaN,half,yes,half,good
2,2,2.5,NaN,NaN,35,NaN,NaN,6,yes,12,average,NaN,NaN,NaN,NaN,good
3,4,5,5,tc,NaN,empl_contr,NaN,NaN,NaN,12,generous,yes,none,yes,half,good
3,6.9,4.8,2.3,NaN,40,NaN,NaN,3,NaN,12,below_average,NaN,NaN,NaN,NaN,good
2,3,7,NaN,NaN,38,NaN,12,25,yes,11,below_average,yes,half,yes,NaN,good
1,5.7,NaN,NaN,none,40,empl_contr,NaN,4,NaN,11,generous,yes,full,NaN,NaN,good
3,3.5,4,4.6,none,36,NaN,NaN,3,NaN,13,generous,NaN,NaN,yes,full,good
2,6.4,6.4,NaN,NaN,38,NaN,NaN,4,NaN,15,NaN,NaN,full,NaN,NaN,good
2,3.5,4,NaN,none,40,NaN,NaN,2,no,10,below_average,no,half,NaN,half,bad
3,3.5,4,5.1,tcf,37,NaN,NaN,4,NaN,13,generous,NaN,full,yes,full,good
1,3,NaN,NaN,none,36,NaN,NaN,10,no,11,generous,NaN,NaN,NaN,NaN,good
2,4.5,4,NaN,none,37,empl_contr,NaN,NaN,NaN,11,average,NaN,full,yes,NaN,good
1,2.8,NaN,NaN,NaN,35,NaN,NaN,2,NaN,12,below_average,NaN,NaN,NaN,NaN,good
1,2.1,NaN,NaN,tc,40,ret_allw,2,3,no,9,below_average,yes,half,NaN,none,bad
1,2,NaN,NaN,none,38,none,NaN,NaN,yes,11,average,no,none,no,none,bad
2,4,5,NaN,tcf,35,NaN,13,5,NaN,15,generous,NaN,NaN,NaN,NaN,good
2,4.3,4.4,NaN,NaN,38,NaN,NaN,4,NaN,12,generous,NaN,full,NaN,full,good
2,2.5,3,NaN,NaN,40,none,NaN,NaN,NaN,11,below_average,NaN,NaN,NaN,NaN,bad
3,3.5,4,4.6,tcf,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,good
2,4.5,4,NaN,NaN,40,NaN,NaN,4,NaN,10,generous,NaN,half,NaN,full,good
1,6,NaN,NaN,NaN,38,NaN,8,3,NaN,9,generous,NaN,NaN,NaN,NaN,good
3,2,2,2,none,40,none,NaN,NaN,NaN,10,below_average,NaN,half,yes,full,bad
2,4.5,4.5,NaN,tcf,NaN,NaN,NaN,NaN,yes,10,below_average,yes,none,NaN,half,good
2,3,3,NaN,none,33,NaN,NaN,NaN,yes,12,generous,NaN,NaN,yes,full,good
